taskid,taskname,taskvalue,creator,status,createtime,modifiedtime
50001,wish dish for one day,10,321,Done,2024/4/13 11:46,2024/4/13 22:06
50003,toy3,10,321,Done,2024/4/13 11:47,2024/4/13 22:07
50006,toy6,20,321,Done,2024/4/13 11:47,2024/4/13 22:06
50011,test222,99,321,Pending Approval,2024/4/13 11:46,2024/4/13 15:00
50012,toy88,88,321,Done,2024/4/13 11:47,2024/4/13 15:05
50016,tast 111,11,392,Open,2024/4/13 21:57,2024/4/14 13:09
50017,task11,20,392,Open,2024/4/13 21:58,2024/4/13 21:58
50020,test-maggie2,199,321,Done,2024/4/14 10:54,2024/5/3 12:20
50021,test99,99,321,Done,2024/4/14 10:54,2024/5/5 20:31
50023,test123,123,321,Done,2024/4/14 14:50,2024/5/5 20:31
50024,test11,11,328,Open,2024/4/14 22:01,2024/4/14 22:01
50025,test22,22,328,Open,2024/4/14 22:01,2024/4/14 22:01
50026,test33,33,328,Done,2024/4/14 22:02,2024/4/14 22:03
50027,test44,44,328,Done,2024/4/14 22:02,2024/4/14 22:04
50028,test55,55,328,Pending Approval,2024/4/14 22:02,2024/4/14 22:02
50029,test88,88,321,Rejected,2024/4/14 23:59,2024/4/15 19:57
50030,test10,10,321,Done,2024/4/15 07:26,2024/5/5 15:33
50031,test13,13,321,Done,2024/4/15 07:26,2024/5/5 20:32
50032,Clean living room and public areas,30,321,Open,2024/4/15 11:39,2024/5/5 20:58
50033,Wash the dishes for one day,20,321,Open,2024/4/15 19:58,2024/5/5 20:59
50034,test5 - task1,20,327,Open,2024/4/15 20:52,2024/4/15 20:52
50035,tast5 - test20,20,327,Done,2024/4/15 20:53,2024/4/15 20:54
50036,test5 - task 80,80,327,Done,2024/4/15 20:53,2024/4/15 21:03
50037,test5 - task 70,70,327,Open,2024/4/15 20:53,2024/4/15 20:53
50038,test5 - task 16,16,327,Pending Approval,2024/4/15 20:53,2024/4/15 20:53
50039,Wash the car once,20,321,Open,2024/5/5 20:53,2024/5/5 21:00
50040,test44,44,321,Done,2024/5/5 20:53,2024/5/5 20:54
50041,Participate a volunteering event,60,321,Open,2024/5/5 20:53,2024/5/5 21:00
50042,task 120,120,321,Done,2024/5/5 20:54,2024/5/5 20:54
50043,task 110,110,321,Done,2024/5/5 20:54,2024/5/5 20:54
50044,Clean the entire yard once,40,321,Open,2024/5/5 21:01,2024/5/5 21:01
50045,Receive a formal external reward once,80,321,Open,2024/5/5 21:02,2024/5/5 21:02
50046,Wash the dishes for one week,180,321,Open,2024/5/5 21:02,2024/5/5 21:02
50047,Take care the dog for one week,100,321,Open,2024/5/6 20:17,2024/5/6 20:17